
Município;Ano;Classe;Quantidade (KWH)
Brejolândia;2016;Industrial;314965
Brejolândia;2016;Pública;1099544
Brejolândia;2016;Residencial;3190058
Brejolândia;2016;Rural;466038
Brotas de Macaúbas;2016;Comercial;571285
Brotas de Macaúbas;2016;Industrial;22295
Brotas de Macaúbas;2016;Pública;1795055
Brotas de Macaúbas;2016;Residencial;3857757
Brotas de Macaúbas;2016;Rural;183350
Brumado;2016;Comercial;13435419
Brumado;2016;Industrial;17472591
Brumado;2016;Outros;128839
Brumado;2016;Pública;13960894
Brumado;2016;Residencial;31726969
Brumado;2016;Rural;7927207
Buerarema;2016;Comercial;1855203
Buerarema;2016;Industrial;164241
Buerarema;2016;Outros;13821
Buerarema;2016;Pública;1336865
Buerarema;2016;Residencial;5967723
Buerarema;2016;Rural;1055197
Buritirama;2016;Comercial;638736
Buritirama;2016;Industrial;22519
Buritirama;2016;Pública;3549013
Buritirama;2016;Residencial;5468922
Buritirama;2016;Rural;75059
Caatiba;2016;Comercial;411675
Caatiba;2016;Industrial;161927
Caatiba;2016;Pública;587353
Caatiba;2016;Residencial;2432424
Caatiba;2016;Rural;438306
Cabaceiras do Paraguaçu;2016;Comercial;584297
Cabaceiras do Paraguaçu;2016;Industrial;519693
Cabaceiras do Paraguaçu;2016;Pública;2356195
Cabaceiras do Paraguaçu;2016;Residencial;4311319
Cabaceiras do Paraguaçu;2016;Rural;2246081
Cachoeira;2016;Comercial;6126569
Cachoeira;2016;Industrial;13388976
Cachoeira;2016;Pública;4946800
Cachoeira;2016;Residencial;12739851
Cachoeira;2016;Rural;2755380
Caculé;2016;Comercial;3614065
Caculé;2016;Industrial;2110009
Caculé;2016;Pública;3137506
Caculé;2016;Residencial;8965643
Caculé;2016;Rural;1459224
Caém;2016;Comercial;327756
Caém;2016;Industrial;384091
Caém;2016;Pública;1571023
Caém;2016;Residencial;3458934
Caém;2016;Rural;422258
Caetanos;2016;Comercial;273712
Caetanos;2016;Industrial;19475
Caetanos;2016;Pública;1660530
Caetanos;2016;Residencial;3298251
Caetanos;2016;Rural;308658
Caetité;2016;Comercial;5893962
Caetité;2016;Industrial;5683068
Caetité;2016;Outros;28371
Caetité;2016;Pública;6699666
Caetité;2016;Residencial;21183162
Caetité;2016;Rural;3473175
Cafarnaum;2016;Comercial;1193068
Cafarnaum;2016;Industrial;31870
Cafarnaum;2016;Pública;2336257
Cafarnaum;2016;Residencial;6641500
Cafarnaum;2016;Rural;7857791
Cairu;2016;Comercial;11020694
Cairu;2016;Industrial;98869
Cairu;2016;Outros;20239
Cairu;2016;Pública;2947900
Cairu;2016;Residencial;11111442
Cairu;2016;Rural;185461
Caldeirão Grande;2016;Comercial;480966
Caldeirão Grande;2016;Industrial;54870
Caldeirão Grande;2016;Pública;1119032
Caldeirão Grande;2016;Residencial;3191048
Caldeirão Grande;2016;Rural;84425
Camacan;2016;Comercial;3281487
Camacan;2016;Industrial;376663
Camacan;2016;Outros;28796
Camacan;2016;Pública;2533396
Camacan;2016;Residencial;9266463
Camacan;2016;Rural;1523517
Camaçari;2016;Comercial;105708956
Camaçari;2016;Industrial;596306314
Camaçari;2016;Outros;476200
Camaçari;2016;Pública;66751653
Camaçari;2016;Residencial;198080295
Camaçari;2016;Rural;1143348
Camamu;2016;Comercial;2918649
Camamu;2016;Industrial;1426371
Camamu;2016;Outros;2990
Camamu;2016;Pública;3545651
Camamu;2016;Residencial;10757127
Camamu;2016;Rural;596895
Campo Alegre de Lourdes;2016;Comercial;1239102
Campo Alegre de Lourdes;2016;Industrial;996871
Campo Alegre de Lourdes;2016;Outros;240
Campo Alegre de Lourdes;2016;Pública;2817542
Campo Alegre de Lourdes;2016;Residencial;7400393
Campo Alegre de Lourdes;2016;Rural;70346
Campo Formoso;2016;Comercial;4459737
Campo Formoso;2016;Industrial;6751100
Campo Formoso;2016;Pública;5989045
Campo Formoso;2016;Residencial;22697400
Campo Formoso;2016;Rural;1354357
Canápolis;2016;Comercial;248937
Canápolis;2016;Industrial;19749
Canápolis;2016;Pública;1484463
Canápolis;2016;Residencial;2843729
Canápolis;2016;Rural;190531
Canarana;2016;Comercial;1538832
Canarana;2016;Industrial;93557
Canarana;2016;Pública;3661333
Canarana;2016;Residencial;8168725
Canarana;2016;Rural;9493848
Canavieiras;2016;Comercial;3166544
Canavieiras;2016;Industrial;555534
Canavieiras;2016;Outros;19130
Canavieiras;2016;Pública;4122192
Canavieiras;2016;Residencial;14154508
Canavieiras;2016;Rural;2396801
Candeal;2016;Comercial;362648
Candeal;2016;Industrial;31569
Candeal;2016;Pública;569960
Candeal;2016;Residencial;2658856
Candeal;2016;Rural;221604
Candeias;2016;Comercial;28428762
Candeias;2016;Industrial;49627793
Candeias;2016;Outros;78407
Candeias;2016;Pública;67750010
Candeias;2016;Residencial;39996446
Candeias;2016;Rural;996590
Candiba;2016;Comercial;954930
Candiba;2016;Industrial;1502048
Candiba;2016;Outros;5219
Candiba;2016;Pública;2423079
Candiba;2016;Residencial;4650593
Candiba;2016;Rural;1978326
Cândido Sales;2016;Comercial;1844353
Cândido Sales;2016;Industrial;162978
Cândido Sales;2016;Outros;7666
Cândido Sales;2016;Pública;3308348
Cândido Sales;2016;Residencial;9452644
Cândido Sales;2016;Rural;2276418
Cansanção;2016;Comercial;2215817
Cansanção;2016;Industrial;101096
Cansanção;2016;Outros;10451
Cansanção;2016;Pública;6845720
Cansanção;2016;Residencial;10765061
Cansanção;2016;Rural;394908
Canudos;2016;Comercial;732561
Canudos;2016;Industrial;57
Canudos;2016;Outros;1169
Canudos;2016;Pública;2576733
Canudos;2016;Residencial;5575539
Canudos;2016;Rural;608264
Capela do Alto Alegre;2016;Comercial;652263
Capela do Alto Alegre;2016;Industrial;340581
Capela do Alto Alegre;2016;Pública;1033789
Capela do Alto Alegre;2016;Residencial;3493373
Capela do Alto Alegre;2016;Rural;208516
Capim Grosso;2016;Comercial;4306212
Capim Grosso;2016;Industrial;345588
Capim Grosso;2016;Outros;4253
Capim Grosso;2016;Pública;9336027
Capim Grosso;2016;Residencial;12606034
Capim Grosso;2016;Rural;243831
Caraíbas;2016;Comercial;660074
Caraíbas;2016;Industrial;11705
Caraíbas;2016;Pública;1228001
Caraíbas;2016;Residencial;3143272
Caraíbas;2016;Rural;4659246
Caravelas;2016;Comercial;3284932
Caravelas;2016;Industrial;319401
Caravelas;2016;Pública;2889749
Caravelas;2016;Residencial;8614620
Caravelas;2016;Rural;2522794
Cardeal da Silva;2016;Comercial;413235
Cardeal da Silva;2016;Industrial;365849
Cardeal da Silva;2016;Pública;2309667
Cardeal da Silva;2016;Residencial;2660263
Cardeal da Silva;2016;Rural;224170
Carinhanha;2016;Comercial;1509328
Carinhanha;2016;Industrial;515390
Carinhanha;2016;Outros;3714
Carinhanha;2016;Pública;4207194
Carinhanha;2016;Residencial;9643305
Carinhanha;2016;Rural;6698862
Casa Nova;2016;Comercial;4216973
Casa Nova;2016;Industrial;1241704
Casa Nova;2016;Outros;33397
Casa Nova;2016;Pública;5768104
Casa Nova;2016;Residencial;20586880
Casa Nova;2016;Rural;87183669
Castro Alves;2016;Comercial;1980931
Castro Alves;2016;Industrial;3026574
Castro Alves;2016;Outros;11037
Castro Alves;2016;Pública;2618979
Castro Alves;2016;Residencial;9234548
Castro Alves;2016;Rural;1308963
Catolândia;2016;Comercial;469031
Catolândia;2016;Industrial;1200
Catolândia;2016;Pública;939052
Catolândia;2016;Residencial;1097192
Catolândia;2016;Rural;123012
Catu;2016;Comercial;8352294
Catu;2016;Industrial;4757985
Catu;2016;Pública;13111727
Catu;2016;Residencial;25492462
Catu;2016;Rural;880986
Caturama;2016;Comercial;339546
Caturama;2016;Industrial;195127
